title,brand,category,subcategory,price,volume,alc,country,url
Great Lakes Brewery  Robohop Imperial IPA,Great Lakes Brewery,Ale,India Pale Ale (IPA),4.5,473,8.5,Canada,https://www.lcbo.com/en/great-lakes-brewery-robohop-imperial-ipa-498576
Molson Canadian,Molson,Lager,Pale Lager,16.5,2838,5.0,Canada,https://www.lcbo.com/en/molson-canadian-300699
Muskoka Mad Tom IPA,Muskoka Brewery,Ale,India Pale Ale (IPA),3.6,473,6.4,Canada,https://www.lcbo.com/en/muskoka-mad-tom-ipa-288837
Thornbury Craft Wild Blueberry Elderflower Cider,Thornbury,Cider,Flavoured Cider,3.75,473,5.0,Canada,https://www.lcbo.com/en/thornbury-craft-wild-blueberry-elderflower-cider-688671
Cowbell Brewing Co. Original Cider,Cowbell Brewing,Cider,Traditional Cider,3.6,473,5.0,Canada,https://www.lcbo.com/en/cowbell-brewing-co-original-cider-24890
Indie Ale House Instigator IPA,Indie Ale House,Ale,India Pale Ale (IPA),3.85,473,6.5,Canada,https://www.lcbo.com/en/indie-ale-house-instigator-ipa-16080
Muskoka Cream Ale,Muskoka Brewery,Ale,Lagered Ale,28.95,4260,5.0,Canada,https://www.lcbo.com/en/muskoka-cream-ale-10325
Cassel Brewery Caboose IPA,Cassel Brewery,Ale,India Pale Ale (IPA),3.95,473,6.4,Canada,https://www.lcbo.com/en/cassel-brewery-caboose-ipa-569822
Flying Monkeys Velvet Bubble Lord Blueberry Sour,Flying Monkeys,Ale,Sour Ale,3.95,473,6.0,Canada,https://www.lcbo.com/en/flying-monkeys-blueberry-sour-25664
Kozel Beer,Kozel,Lager,Pale Lager,2.55,500,4.7,Czechia,https://www.lcbo.com/en/kozel-beer-614909
James Ready 5.5,James Ready,Lager,Pale Lager,11.95,2838,5.5,Canada,https://www.lcbo.com/en/james-ready-5-5-140509
Wasaga Beach One Cerveza,Wasaga Beach,Lager,Pale Lager,3.15,473,4.5,Canada,https://www.lcbo.com/en/wasaga-beach-one-cerveza-468850
Lake of Bays Forest Dweller Dark Berry Sour,Lake of Bays Brewing,Ale,Sour Ale,3.75,473,NULL,Canada,https://www.lcbo.com/en/lake-of-bays-forest-dweller-dark-berry-sour-22224
Michelob Ultra,Michelob,Lager,Pale Lager,46.95,8184,4.0,Canada,https://www.lcbo.com/en/michelob-ultra-380071
Mill Street Original Organic Lager,Mill Street,Lager,Pale Lager,15.25,2046,4.2,Canada,https://www.lcbo.com/en/mill-street-original-organic-lager-84210
Bellwoods Brewery Jelly King,Bellwoods Brewery,Ale,Sour Ale,6.5,500,5.6,Canada,https://www.lcbo.com/en/bellwoods-brewery-jelly-king-14280
Innis & Gunn Lager,Innis & Gunn,Lager,Pale Lager,3.1,500,4.6,United Kingdom,https://www.lcbo.com/en/innis-gunn-lager-377275
Lake of Bays Off the Grid Hazy Pale Ale,Lake of Bays Brewing,Ale,India Pale Ale (IPA),3.55,473,4.7,Canada,https://www.lcbo.com/en/lake-of-bays-off-the-grid-hazy-pale-ale-15823
Redline Brewhouse Rainbow in the Dark IPA,Redline Brewhouse,Ale,India Pale Ale (IPA),3.55,473,6.6,Canada,https://www.lcbo.com/en/redline-brewhouse-rainbow-in-the-dark-ipa-15878
Cameron's Captain's Log Lager,Cameron's,Lager,Pale Lager,2.75,473,5.0,Canada,https://www.lcbo.com/en/cameron-s-captain-s-log-lager-243741
Muskoka Craft Lager,Muskoka Brewery,Lager,Pale Lager,3.4,473,4.8,Canada,https://www.lcbo.com/en/muskoka-craft-lager-175810
Left Field Brewery Pina Power IPA,Left Field Brewery,Ale,India Pale Ale (IPA),3.8,355,6.0,Canada,https://www.lcbo.com/en/left-field-brewing-pina-power-ipa-26986
Carling Light,Carling,Lager,Pale Lager,40.95,8184,4.0,Canada,https://www.lcbo.com/en/carling-light-921122
Bud Light,Bud Light,Lager,Pale Lager,43.95,8184,4.0,Canada,https://www.lcbo.com/en/bud-light-908616
Collective Arts Strawberry Pina Colada Sour,Collective Arts,Ale,Sour Ale,4.75,473,5.6,Canada,https://www.lcbo.com/en/collective-arts-strawberry-pina-colada-sour-26064
Miller Genuine Draft,Miller,Lager,Pale Lager,14.5,2130,4.7,Canada,https://www.lcbo.com/en/miller-genuine-draft-544833
Bench Brewing Berry Fields Sour Ale,Bench Brewing,Ale,Sour Ale,3.75,473,5.4,Canada,https://www.lcbo.com/en/bench-brewing-berry-fields-sour-ale-19677
